Comments,Class0,Class1,Class2,Class3,Class4,Class5
তাকে নোবেল দেয়া হোক ,0,0,0,0,0,1
নো হিজাব  নো সেফটি,0,0,0,0,1,0
শালিকে জুতা খুলে মারার দরকার ভাই,1,0,0,0,0,0
তোর মার আর তোর মেয়ে থাকলে ওরে চুদ্মু তোর ধন কাইটা ফালামু,0,0,0,1,0,0
অতএব ছোট কাপর পরা বাতিল,0,0,0,0,1,0
শয়তান বউটা খারাইয়া খারাইয়া দেখেএকটু মুখেও প্রতিবাদ করল নাহাইরে বউয়পর ঘরের বউ,1,0,0,0,0,0
বেয়াদোব মহিলা,1,0,0,0,0,0
এভাবে আর মেয়েদের দমিয়ে রাখা যায় না ,0,0,0,0,0,1
একদম খাসা কচি মাল ,0,1,0,0,0,0
তুমি একজন আদর্শ নারী,0,0,0,0,0,1
সাকিব কিভাবে বুবলি মাগির পাল্লায় পড়ে আপু কে ভুলে গেলে আমি অপু আপু কে অনেক অনেক ভাল বাসি,1,0,0,0,0,0
আমার কথা হচ্ছে বিয়ের পরে মেয়ের এমন জানতে পারলে অযথা ভরণ পোষণ দেওয়ার মানেই হয়না তাই বিয়ের আগেই জানা গেলে উভয়েরই মঙ্গল ,0,1,0,0,0,0
আপনাদের মতো মেয়েদের দেখে দেখে  আমাদের ভবিষ্যৎ প্রজন্ম পঁচে যাচ্ছে ,0,0,0,0,1,0
অনেক সুন্দর কথা বলছেন ,0,0,0,0,0,1
পুরাই মাল,0,0,0,0,1,0
ঔ শালার বৌ কে জেলে দেওয়ার দরকার,1,0,0,0,0,0
জাউরা একটা মেয়ে ,1,0,0,0,0,0
তদের মত বেশ্যার ইজ্জত আছে নি,0,1,0,0,0,0
আমি তোর জামাই হতে চাই তুই কি রাজি আছিস,1,0,0,0,0,0
সে কেমন মেয়ে জেনে শুনে বিবাহিত পুরুষের সাথে পরকীয়া করে,0,1,0,0,0,0
এই পৃথিবীর সবচেয়ে সুন্দর ফুল হচ্ছে নারী,0,0,0,0,0,1
এই শালি পপি কোথায় বললতুই নিজে নিজে ভানিয়ে বলতেছত,1,0,0,0,0,0
মেয়েদের যা পোশাক টা দেখেই তো সবাই সিডিউস হয়,0,1,0,0,0,0
ও সাংবাদিক বেডি ভালো খবর পাওনা লঙ্ঘটা খবর নিয়ে আসিশ কেন সালি আবাদি সাংবাদিক,1,0,0,0,0,0
বাংলা দেশের মেয়েরা এতো অনেক খারাপ ছি ছি ছি,1,0,0,0,0,0
রানধীর মেয়েকে কে পারবে জামাপ্যান্ট খুলে পেটাতে যারা যারা পারবেন তারা লাইক করুন,0,0,0,1,0,0
এ মাগি চুদামি,0,0,0,1,0,0
মেয়েরা নিজ স্বার্থের জন্য অন্যের বিছানায় যেতেও দ্বিধা  দ্বন্দ্ব করে না ,0,1,0,0,0,0
তুর মারে চুদি মাগির পুলা,0,0,0,1,0,0
